No,සෙල්ලිපි අංකය,අක්ෂර පරිවර්තනය
307,1065,1065 [7] බමණ-පුශක-පුතහ පුනශුගුතහ ලෙණෙ
308,1066,1066 [8] බුදරකිත-තෙරහ ලෙණෙ ම[හ] .............
309,1067,1067 [9] අශිය ශිවබුතිය ලෙණෙ
310,1068,1068 [10] පුශ-තෙරහ කරිතෙ ශගශ
311,1069,1069 [1] බත-ශිවබුති ච පරුමක-[ශු]මන ගුතහ ච ශදය ලෙණෙ
312,1070,1070 [2] උපශක-ගණක-බුතහ ලෙණෙ ශගශ
313,1071,1071 [3] පරුමක-ශුකද-කුලහ ලෙණෙ
314,1072,1072 [4] දමරකිත-තෙරහ ලෙණෙ ශගශ
315,1075,1075 [1] බත-ශුමනහ ලෙණෙ
316,1078,1078 [4] වදශ ලෙණෙ
317,1079,1079 [5] දතහ ලෙණෙ
318,1081,1081 [1] උපශික-කශබිය ලෙණෙ ශගශ
319,1084,1084 [2] බත-දෙවහ ලෙණෙ
320,1085,1085 [3] පරුමක-නගහ ලෙණෙ
321,1086,1086 [4] (1) උපශික-ශුබගය ශගශ පරුමක ශුමහ
322,1087,1087 [5] චුඩතිශහ ලෙණෙ ශගශ
323,1088,1088 [1] (1) පරුමක-ශුමන-පුතහ චුඩ-ශුමනහ ලෙණෙ(2) බත-තිශගුතහ ච ලෙණෙ
324,1090,1090 [3] ඣිත-තෙරහ මහශුදශනෙ උපශික-තිශය තෙරහ  නග ලෙණෙ
325,1093,1093 [6] බත-ශොණහ ලෙණෙ
326,1094,1094 [7] ගමික-තිශහ
327,1097,1097 [10] පරුමක-ශිවහ ච බත-අයිමරහ ච ලෙණෙ
328,1103,1103 [1] මහරඣහ ඣිත මහබිය ලෙණෙ අගත-අනගත චතු-දිශ-ශගශ නියතෙ
329,1155,1155 උපසක-වසහ ලෙණෙ සග නියතෙ
330,1171,1171 [පරුමක]- යකදතහ පුතහ පරුමක-වහබහ ලෙණෙ චතු-දිසික-සගස නියතෙ
331,1172,1172 [1] තිශ-තෙරහ ලෙණෙ චදු-දිසික බිකු-සගයෙ නියතෙ පිතහ උපසක-නකහ ලෙණෙ
332,1188,1188 [2] පරුමක-තිසහ ලෙණෙ සගස
333,1191,1191 සුම-තෙරහ ............
334,1203,1203 [2] සිදම් [|] මයහල-වසික ............
335,1221,1221 [5] පරුමක-චිතහ ලෙණෙ සගස
336,1231,1231 අමතෙ-වහිටිමතහ ලෙණෙ
337,1232,1232 උපසික-හුමය ලෙණෙ
