No,සෙල්ලිපි අංකය,අක්ෂර පරිවර්තනය
73,290,[2] පරුමක-දිගතිශ-පුත පරු[මක]ගුතශ ලෙණ‌ෙ
74,291,[3] (1) ගමික-තිශ-පුත ගමික-සමණදතහ (2) ලෙණ‌ෙ
75,293,[5] පරුමක-දිගතිශ-පුත ගුතහ ලෙණ‌ෙ
76,301,[1] ගපති-කබර-මඣිමහ පුත ශිවහ ච ලෙණ‌ෙ ශගශ
77,304,[4] [අ]ය-ශිවහ ලෙණ‌ෙ
78,305,[5] පරුමක-උති-ඣිතය අබි-ශොණය ලෙණ‌ෙ
79,308,[8] අශ-මගශ ලෙණ‌ෙ මනපදශනෙ නම අගත-අනගත-චතු-දිශ-ශගශ
80,310,[10] බත-දතශ ලෙණ‌ෙ ශගශ ගපති-ශුමහ
81,311,[11] බත-ශොණහ ලෙණ‌ෙ අගත-අනගත-චදු-දිශ-ශගශ නියතෙ
82,312,[12] පරුමක-තිශරකිත-පුත පරුමක-නගදිනශ ලෙණ‌ෙ
83,314,[14] (1) වඩියහ තිශහ ශුවතිය(2) තිනි-ඣනහ ලෙණ‌ෙ නියතෙ ශගශ
84,319,[1] පරුමක-තබර-වේලු-ඣිශ තිශ[ය]
85,324,[3] අශ දමගුතහ ලෙණ‌ෙ ශගශ
86,325,[4] බත-අබයහ ලෙණ‌ෙ ශගශ
87,326,[1] දමගුතහ ලෙණ‌ෙ ශගශ
88,327,[2] තිශ-තෙරහ අතෙවශික ශුඅමන-තෙරහ ලෙණ‌ෙ අගත-අනගත-චතු-දී[ශ]-ශගශ
89,328,[3] පරුමක-නදික-පුතශ පරුමක-මිතශ ලෙණ‌ෙ අගත-අනගත-චතු-දිශ-ශගශ දිනෙ
90,329,[4] (1) පරුමක-හදකහ බැරිය උපශික-නගය ච පුතා උපශක-තිශහ ච උපශක දෙවහ ච(2) ලෙණ‌ෙ අගත-අනගත-චතු-දිශ-ශගශ නියතෙ
91,330,[5] තිශගුත-තෙරශ ශදිවිහරිය බරත-මඣිමබණක තිශහ ලෙණ‌ෙ ශුදශනෙ අගත-අනගත-චතු-දිශ-ශගශ නියතෙ
92,331,[6] පරුමක-මිත-ඣය පරුමක-ශත-නශත-ඣිත පරුමකලු-පුශය ලෙණ‌ෙ අගත-අනගත-චතු-ශගශ
93,335,[10] බරත-තිශශ ලිණ‌ෙ
94,336,[11] පෙළ සහ අර්ථය අංක 335 ලිපිය හා සමාන වන නමුත් එහි භාවිත කර ඇති 'තිශශ' යන පදය වෙනුවට මෙහි 'තිශහ' ලෙස යොදා ඇත. මෙම ශිලාලේඛනය සාමාන්‍ය අයුරින් වමෙහි සිට දකුණට ලියන ලද්දකි.
95,337,[12] පරුමක-[ශො]ණහ ලෙණ‌ෙ ගමික-තිශහ ලෙණ‌ෙ ශගශ
96,338,[1] රඣ-නග-ඣිත-උති-ඣයඅබි-අනුරදි ච රඣ-උති ච කරපිට ශ‌ෙ ඉම ලෙණ‌ චතු-දිශශ ශගය අගත්-අගතන පශු-විහරයෙ අපරිමිත-ලොකදතුය ශතන ශිත-ශුකයෙ.
97,342,[5] බදිර-මහතිශ-පුත මහ-ශුමනශ ලෙණ‌ෙ
98,343,[6] පරුමක-උති-පුත චුඩි-නගශ ලෙණ‌ෙ
99,345,[8] ගපති-දමශෙන-පුත ශුමන-මලශ ච ගපති-මඣිමතිශ-පුත දිගතිශශ ච ලෙණ‌ෙ
