word,meaning,සෙල්ලිපි අංකය
ලෙණ‌ෙ,මහ-අයගේ,423
,,424
මහරඣහ,මහරජ,424
දෙවනපියහ,වූ,424
ගමණි,දෙවියන්ට,424
තිශහ,ප්‍රිය,424
පුතහ,වූ,424
තිශ,ගාමණී,424
අයහ,තිස්සගේ,424
මහ,පුත්,424
ලෙණ‌ෙ,වන,424
,,426
දෙවනපිය,දෙවියන්ට,426
මහරඣහ,ප්‍රිය,426
ගමණි,වූ,426
තිශහ,මහරජ,426
පුතහ,ගාමණී,426
තිශ,තිස්සගේ,426
අයහ,පුත්,426
ඣය,වන,426
උපශික,තිස්ස,426
ශමිකය,කුමරුගේ,426
ලෙණ‌ෙ,භාර්යාව,426
,,430
බත,ප්‍රධානි,430
තිශගුතහ,තිස්සගුත්තගේ,430
ලෙණ‌ෙ,ශිහමුඛ,430
ශිශමුකෙ,(සිංහයාගේ,430
,,442
මිටියමත,මිටියමත,442
තිශහ,තිස්සගේ,442
ලෙණ‌ෙ,ලෙණ‌.,442
,,443
බත,ප්‍රමුඛ,443
ශිවබුතිය,සිවභූතිගේ,443
ලෙණ‌ෙ,සුප්පතිට්ඨිත,443
ශුපදිතිතෙ,ලෙණ‌.,443
,,444
[ච]න[,න-(තිස්ස)-පබ්බත,444
තිශ],වාසී,444
පවත,ඵුස්ස,444
ව[ශි,තෙරුණ්ගේ,444
ක],ලෙණ‌.,444
,,448
දමරකිත,ධම්මරක්ඛිත,448
තෙර,තෙරුණ්ගේ,448
ශදිවිශරිය,ශිෂ්‍ය,448
බත,ප්‍රධානි,448
ශ...........,ස...........,448
,,449
ශිව,සිව,449
තෙරශ,තෙරුණ්ගේ,449
ලෙණ‌ෙ,ලෙණ‌.,449
,,450
ශිව,සිව,450
තෙර............,තෙරුණ්ගේ............,450
,,451
නගශෙන,නාගසේන,451
තෙරශ,තෙරුණ්ගේ,451
ශුදශනෙ,සුදස්සන,451
,,453
උපශක,උපාසක,453
දතශ,දත්තගේ,453
ලෙණ‌ෙ,ලෙණ‌.,453
,,454
ශුරි,සුරිතෙරුණ්ගේ,454
තෙරශ,ලෙණ‌,454
ලෙණ‌ෙ,සංඝයාට,454
ශගශ,.,454
,,455
බුදරකිත,බුද්ධරක්ඛිත,455
තෙරශ,තෙරුණ්ගේ,455
ලෙණ‌ෙ,ලෙණ‌,455
බයබෙරවෙ,බයභෙරව,455
,,461
තිශමිත,තිස්සමිත්ත,461
තෙරශ,තෙරුණ්ගේ,461
ලෙණ‌ෙ,පුඩලඣකෙ,461
පුඩලඣකෙ,ලෙණ‌.,461
,,464
තිශමිත,තිස්සමිත්ත,464
තෙරශ,තෙරුණ්ගේ,464
ලෙණ‌ෙ,ලෙණ‌,464
ශගශ,සංඝයාට,464
,,465
උපතිශහ,උපතිස්සගේ,465
ලෙණ‌ෙ,ලෙණ‌.,465
,,469
කුබිර,කුබිර,469
තෙරහ,(කුවෙර),469
වනෙ,තෙරුණ්ගේ,469
,,473
දොදශ,පුද්ගලයින්,473
ඣනන,දොළසකගේ,473
චදක,චන්දක,473
ලෙණ‌ෙ,ලෙණ‌.,473
,,475
බත,ප්‍රධානි,475
තිශ,තිස්සගුත්තගේ,475
ගුතහ,ගම්,475
ගමික,ප්‍රධානි,475
චුලහ,චලුගේ,475
උපශික,උපාසිකා,475
උපලය.............,උප්පලාගේ,475
,,477
පරුමක,ප්‍රමුඛ,477
වෙල,වෙලගෙ,477
පුත,පුත්,477
පරුමක,වන,477
උතරශ,ප්‍රමුඛ,477
ලෙණ‌ෙ,උත්තරගේ,477
,,478
මිත,මිත්ත,478
තෙරහ,තෙරුණ්ගේ,478
පිතශ,පියාණන්,478
උපශක,වන,478
ශිවශ,උපාසක,478
ලෙණ‌ෙ,සිවගේ,478
,,479
ගමික,ගම්,479
වණ,ප්‍රධානි,479
තිශහ,වණ-තිස්සගේ.,479
,,495
පරුමක,ප්‍රමුඛ,495
තිශ,තිස්සගේ,495
පුත,පුත්,495
පරුමකඅදිලිය,වන,495
ලෙණ‌ෙ,ප්‍රමුඛ,495
ශගශ,අදිලිගේ,495
,,496
පරුමක,ප්‍රමුඛ,496
ශුමන,සුමනගේ,496
පුතශ,පුත්,496
තිශශ,වන,496
ලෙණ‌ෙ,තිස්සගේ,496
,,497
පරුමක,ප්‍රමුඛ,497
මිත,මිත්තගේ,497
පුත,පුත්,497
පරුමක,වන,497
රකිය,ප්‍රමුඛ,497
ලෙණ‌ෙ,රකිගේ,497
ශගශ,ලෙණ‌,497
,,498
(සංකේත,ප්‍රමුඛ,498
අංක18),නන්දිකගේ,498
පරුමක,පුත්,498
නදික,වන,498
පුතශ,ප්‍රමුඛ,498
පරුමක,මිත්තගේ,498
මිතශ,මහාසුදස්සන,498
ලෙණ‌ෙ,ලෙණ‌,498
මහශුදශනෙ,සංඝයාට,498
ශගශ,පරිත්‍යාග,498
දිනෙ,කරන,498
,,499
බත,ප්‍රධානි,499
පුශගුතශ,ඵුස්සගුත්තගේ,499
ය,ලෙණ‌,499
ලෙණ‌ෙ,මනාපදස්සන,499
මනපද[ශ]නෙ,ලෙණ‌,499
ලෙණ‌ෙ,සංඝයාට,499
ශගශ,.,499
,,500
ගමික,ගම්,500
නග,ප්‍රධානි,500
පුතෙ,නාගගේ,500
ගමික,පුත්,500
තිශ,වන,500
කරපිතෙ,ගම්,500
ඉම,ප්‍රධානි,500
ලෙණ‌,තිස්ස,500
සෙනපති,විසින්,500
ඣුවය,කරවන,500
ශගශ,ලද,500
දිනෙ,මෙම,500
,,501
බත,ප්‍රධානි,501
ශගරකිතශ,සංඝරක්ඛිතගේ,501
ලෙණ‌ෙ,පටිභාන-කූට,501
පටිබන,නම්,501
කුටෙ,ලෙණ‌,501
ශග[ශ],සංඝයාට,501
දිනෙ,පරිත්‍යාග,501
,,503
[ශු]ඣත,සුජාත,503
තෙරහ,තෙරුණ්ගේ,503
ලෙණ‌ෙ,ලෙණ‌,503
ශගශ,සංඝයාට,503
,,506
මුල(ශො)ම,මූලසොම,506
තෙරශ,තෙරුණ්ගේ,506
ලෙණ‌ෙ,ලෙණ‌,506
චතු,සතරදෙස,506
දිශ,සංඝයාට,506
ශගශ,.,506
,,508
තිශගුත,තිස්සගුත්ත,508
තෙරහ,තෙරුණ්ගේ,508
ලෙණ‌ෙ,ලෙණ‌,508
අගත,පැමිණියාවූත්,508
අනගත,නොපැමිණියාවූත්,508
චතු,සතරදෙස,508
දිශ,සංඝයාට,508
ශගශ,දෙන,508
දිනෙ,ලදී.,508
,,509
ශගරකිත,සංඝරක්ඛිත,509
තෙරශ,තෙරුණ්ගේ,509
ලෙණ‌ෙ,සුදස්සන,509
ශුදශනෙ,ලෙණ‌.,509
,,510
බත,ප්‍රධානි,510
දිනහ,දින්නගේ,510
ලෙණ‌ෙ,ලෙණ‌,510
සඝහ,සංඝයාට,510
,,511
බත,සුමනගුත්තගේ,511
ශුමනගුතශ,ල‌ෙණ‌,511
ල‌ෙණ‌ෙ,සංඝයාට,511
සඝහ,.,511
,,512
ශුඣත,තෙරුණ්ගේ,512
තෙරශ,සහෝදරයා,512
බතික,වන,512
තිශදත,තිස්සදත්ත,512
තෙරහ,තෙරුණ්ගේ,512
ල‌ෙණ‌ෙ,ල‌ෙණ‌,512
ශගශ,සංඝයාට,512
,,514
ශගශ,ල‌ෙණ‌.,514
,,516
පරුමක,ඵුස්සගේ,516
පුශහ,ල‌ෙණ‌,516
ල‌ෙණ‌ෙ,සංඝයාට,516
ශගශ,.,516
,,517
වෙශලි,තෙරුණ්ගේ,517
තෙරහ,ල‌ෙණ‌.,517
,,518
ගපති,සිවගේ,518
ශිවහ,ල‌ෙණ‌,518
ල‌ෙණ‌ෙ,සතරදෙස,518
චතු,සංඝයාට,518
දිශික,දෙන,518
ශගශ,ලදී.,518
,,526
(සංකේත,ල‌ෙණ‌,526
අංක,සංඝයාට,526
,,535
ගමික,ප්‍රධානි,535
වශ,වම්සගේ,535
පුතනු,පුතුන්,535
ගමික,වන,535
තිශ,ගම්,535
පුශ,ප්‍රධානි,535
ගමික,තිස්ස,535
අබහ,ඵුස්ස,535
ශිරිගුත,සහ,535
තෙරහ,ගම්,535
,,536
ගපති,චුලගේ,536
චුලශ,ල‌ෙණ‌,536
ල‌ෙණ‌ෙ,සංඝයාට,536
ශගශ,.,536
,,537
බත,සිවරක්ඛිතගේ,537
ශිවරකිතශ,ල‌ෙණ‌.,537
,,539
මනශ,ල‌ෙණ‌,539
ල‌ෙණ‌ෙ,සංඝයාට,539
ශගශ,දෙන,539
දිනෙ,ලදී.,539
,,544
ගමික,ප්‍රධානි,544
තිශ,තිස්සගේ,544
පුතහ,පුත්,544
බත,වන,544
තිශමිතහ,ප්‍රධානි,544
ල‌ෙණ‌ෙ,තිස්සමිත්තගේ,544
,,545
බමණ,අතිමතකගේ,545
අතිමතකහ,ල‌ෙණ‌,545
ල‌ෙණ‌ෙ,සංඝයාට,545
(ශගශ),.,545
,,546
ගපති,මැණික්කරු,546
මණිකර,තිස්සගේ,546
තිශහ,ල‌ෙණ‌,546
ල‌ෙණ‌ෙ,සංඝයාට,546
ශගශ,.,546
,,570
ශුමනගුත,තෙරුණ්ගේ,570
තෙරශ,ලෙණ,570
ලෙණෙ,සංඝයාට,570
ශගශ,.,570
,,571
සුමනගුත,තෙරුණ්ගේ,571
තෙරහ,මනාපදස්සන,571
ලෙණෙ,ලෙණ.,571
,,578
පරුමක,චුලුගේ,578
චුලු,භාර්යාව,578
ඣය,වන,578
ගමික,ගම්,578
වශබ,ප්‍රධානි,578
ඣිතය,වසභගේ,578
උපශික,දියණිය,578
තිශය,වන,578
ලෙණෙ,උපාසිකා,578
ශගශ,තිස්සාගේ,578
දිනෙ,ලෙණ,578
,,580
ගණක,රොහකගේ,580
රොහකශ,ලෙන,580
ලෙනෙ,සංඝයාට,580
ශගශ,පවරන,580
නියතෙ,ලදී.,580
,,581
ගමි[ක],ප්‍රධානි,581
කණ,කණ්හගේ,581
ඣිතය,දියණිය,581
උපශික,වන,581
තිශය,උපාසිකා,581
ලෙණෙ,තිස්සාගේ,581
ශගශ,ලෙණ,581
,,582
ගපිති,කුමාරතිස්සගේ,582
කුමරතිහ,පුත්,582
පුත,වන,582
චුඩ,චූල,582
කුමරහ,කුමාරගේ,582
අශෙ,සහ,582
දෙවහ,ආයුෂ්මන්ත,582
ලෙණෙ,දෙවගේ,582
ශගශ,ලෙණ,582
,,583
ශොණහ,ලෙණ,583
ලෙණෙ,සංඝයාට,583
ශගශ,.,583
,,584
දමගුත,තෙරුණ්ගේ,584
තෙරශ,ලෙණ.,584
,,585
වණිඣ,සුමනගේ,585
ශුමනහ,ලෙණ,585
ලෙණෙ,සංඝයාට,585
ශගශ,.,585
,,586
චුඩ,ප්‍රධානි,586
ගමිකහ,චුඩගේ,586
ලෙණෙ,ලෙණ,586
ශගශ,සංඝයාට,586
,,587
ගමික,ප්‍රධානි,587
අබහ,අභයගේ,587
ලෙණෙ,ලෙණ,587
ශගශ,සංඝයාට,587
,,588
මහතිශ,තෙරුණ්ගේ,588
තෙරහ,ලෙණ.,588
,,589
බමණ,සුම්මගේ,589
ශුමහ,ලෙණ,589
ලෙණෙ,සංඝයාට,589
ශගශ,.,589
,,591
වණිඣ,සුමනගේ,591
ශුමනහ,ලෙණ.,591
,,593
අනුරද,තෙරුණ්ගේ,593
තෙරහ,ද,593
ච,රන්කරු,593
තුලදර,සුමනගේ,593
පු[ත],ද,593
ශුමනහ,මනාපදස්සන,593
ච,නම්,593
මනපදශනෙ,ලෙන.,593
,,594
බත,සුමනගේ,594
ශුමනහ,සහ,594
පුත,ඔහු,594
ශුමනහ,පුත්,594
ශදය,සුමනගේ,594
ලෙණෙ,සාමූහික,594
ශගශ,දීමනාවක්,594
,,595
බත,සුමනගේ,595
ශුමනහ,ලෙණ.,595
,,604
අචරිය,පරාසරිගේ,604
පරාසරිස,ලෙණ.,604
,,611
බත,සුමනදත්තගේ,611
ශුමනදතශ,ලෙණ.,611
,,616
ගපති,යසොපාලගේ,616
යශොපල,පුත්,616
පුත,වන,616
ශොනශ,සොණගේ,616
ලෙණෙ,ලෙණ,616
ශගශ,සංඝයාට,616
දිනෙ,දෙන,616
,,623
ගමික,ප්‍රධානි,623
ශිව,සිවගේ,623
පුත,පුත්,623
ගමික,වන,623
කබොඣහ,ගම්,623
ලෙණෙ,ප්‍රධානි,623
,,626
බත,සිවගේ,626
ශිවහ,ලෙණ,626
ලෙණෙ,සංඝයාට,626
ශගශ,.,626
,,629
පරුමක,මිතගේ,629
මිත,පුත්,629
පුත,වන,629
බඩකරික,භාණ්ඩාගාරික,629
දතහ,දත්තගේ,629
,,638
ගුතශ,ලෙණ,638
ලෙණෙ,පැමිණියාවූත්,638
අග[ත],නොපැමිණියාවූත්,638
අනගත,සතරදෙස,638
චතු,සංඝයාට,638
දිශ,.,638
,,642
තොටගමිය,ගෘහපති,642
ගපති,ඔඣක,642
ඔඣක,තිස්සගේ,642
තිශ,පුත්,642
පුත,වන,642
උපශක,උපාසක,642
නට,නළු-තිස්සගේ,642
තිශශ,පරිත්‍යාගය,642
දනෙ,සංඝයාට,642
ශගශ,පිහිටුවී.,642
,,656
බමණ,මරුකූටහි,656
මරුකුට,ගොතමගේ,656
ගොතමශ,ලෙණ,656
ලෙණෙ,පැමිණියාවූත්,656
අගත,නොපැමිණියාවූත්,656
අනගත,සතරදෙස,656
චතු,සංඝයාට,656
දිශ,.,656
,,657
බත,වම්සගේ,657
වශහ,සුවති,657
වඩක,වඩුවාගේ,657
ශුවතිය,ලෙණ.,657
,,658
පරුමක,චෙමගේ,658
චෙම,(ක්ශේම),658
පුත,පුත්,658
පරුමක,වන,658
පුශදෙවහ,ප්‍රමුඛ,658
ලෙණෙ,ඵුස්සදේවගේ,658
යෙ,ලෙණ,658
,,659
ගමික,ප්‍රධානි,659
උතර,උත්තරගේ,659
පුත,පුත්,659
ගමික,වන,659
පුශදෙවහ,ගම්,659
ලෙණෙ,ප්‍රධානි,659
මනපදශනෙ,ඵුස්සදේවගේ,659
ශගශ,මනාපදස්සන,659
,,668
පුණ,තේරුණ්ගේ,668
තෙරහ,ශිෂ්‍ය,668
ශදිවිහරිය,ප්‍රධානි,668
බත,සංඝරක්ඛිතගේ,668
ශගරකිතහ,ලෙණ,668
ලෙණෙ,සංඝයාට,668
ශගශ,.,668
,,670
චුඩ,තෙරුණ්ගේ,670
බුදරකිත,අතවැසි,670
තෙරහ,වූ,670
අතෙවශික,ප්‍රධානි,670
බත,තිස්සගේ,670
තිශහ,ලෙණ.,670
,,673
ගණක,රකිගේ,673
රකිය,සහ,673
උපශික,උපාසිකා,673
තිශය,තිස්සාගේ,673
අඝත,පැමිණියාවූත්,673
අනගත,නොපැමිණියාවූත්,673
ශගශ,සංඝයාට,673
,,675
උපශක,දත්තගේ,675
දතහ,ලෙණ.,675
,,680
චුඩ,ලෙණ,680
දතහ,සංඝයාට,680
ලෙණෙ,.,680
,,681
උපශක,නන්දගේ,681
නදහ,ලෙණ,681
ලෙණෙ,සංඝයාට,681
ශගශ,.,681
,,682
වශ,තෙරුණ්ගේ,682
තෙරහ,ශිෂ්‍ය,682
ශදිවිහරිය,ධම්මගුත්ත,682
දමගුත,තෙරුණ්ගේ,682
තෙරහ,ලෙණ.,682
,,689
බත,කණ්හගුත්තගේ,689
කණගුතශ,මහාසුදස්සන,689
මහසුදශනෙ,නම්,689
ලෙණෙ,ලෙණ,689
ශගශ,සංඝයාට,689
,,690
ගමික,ප්‍රධානි,690
කණ,කණ්හගේ,690
පුත,පුත්,690
ගමික,වන,690
ශදනශ,ගම්,690
ලෙණනි,ප්‍රධානි,690
ශගශ,සදනගේ,690
දිනනි,ලෙණ්,690
,,692
ගපති,රෙතගේ,692
රෙතශ,ලෙණ,692
ලෙණෙ,වෙයි.,692
,,693
උපශක,සමුද්දගේ,693
ශමුදහ,ලෙණ,693
ලෙණෙ,සංඝයාට,693
ශගශ,.,693
,,695
උපශක,කචලිගේ,695
කචලිය,ලෙණ.,695
,,700
දෙවරකිතශ,සහ,700
ච,ධම්ම,700
දමතෙරශ,තෙරුණ්ගේ,700
ච,ලෙණ.,700
,,701
බත,සුරියගුත්තගේ,701
ශුරිගුතහ,ලෙණ.,701
,,710
බත,ප්‍රධානි,710
කුමරදතශ,කුමාරදත්තගේ,710
ලෙණෙ,ලෙණ,710
ශගශ,සංඝයාට,710
දිනි,දෙන,710
,,711
ගපති,කුණිකතිස්සගේ,711
කුණික,පුත්,711
තිශ,වන,711
පුත,උපාසක,711
උපශක,යසස්සිගේ,711
යහශිය,ලෙණෙ.,711
,,712
පරුමක,පුලයගේ,712
පුලය,පුත්,712
පුත,වූ,712
පරුමක,ප්‍රමුඛ,712
උතර,උත්තරගේ,712
පුත,පුත්,712
පරුමක,වන,712
දතශ,ප්‍රමුඛ,712
කුමි,දත්තගේ,712
ලෙණෙ,කුඩා,712
ච,දිය,712
ශගශ,පොකුණ,712
දිනෙ,සහ,712
,,714
බත,දින්නගේ,714
දිනශ,ලෙණ.,714
ලෙණෙ,සුදස්සන,714
ශුදශනෙ,සංඝයාට,714
ශගශ,.,714
,,715
පුශගුත,තෙරුන්,715
තෙරෙන,විසින්,715
ඛරපිතෙ,කරවන,715
ලෙණෙ,ලද,715
ධශදිශතො,ලෙණ,715
ශගශ,දසදිසාවෙහි,715
ඵරිබොගයෙ,සංඝයාගේ,715
ධිනෙ,පරිභෝජනය,715
,,716
මිතගුත,තෙරුණ්ගේ,716
තෙරශ,පරිත්‍යාගය,716
දනෙ,පැමිණියාවූත්,716
අගත,නොපැමිණියාවූත්,716
අනගත,සංඝයාට,716
ශගශ,දෙන,716
දිනෙ,ලදී.,716
,,717
බත,ධම්මරක්ඛිත,717
දමරකිතෙන,කරවන,717
කරපිතෙ,ලද,717
ශගශ,සංඝයාට,717
,,718
බත,නාගගේ,718
නගශ,ලෙණ,718
ලෙණෙ,සංඝයාට,718
ශගශ,දෙන,718
දිනෙ,ලදී.,718
,,719
ගමික,ප්‍රධානි,719
රෙතහ,රෙතගේ,719
ලෙණෙ,(රේවත),719
ශගශ,ලෙණ,719
,,722
පරුමක,දත්තගේ,722
දතහ,ලෙණ,722
ලෙණෙ,සංඝයාට,722
ශගශ,.,722
,,723
පරුමක,ධනමිත්තගේ,723
දනමිතශ,ලෙණ.,723
,,726
පුගියන,සාමාජිකයින්ගේ,726
ලෙණෙ,ලෙණ,726
ශගශ,සංඝයාට,726
දිනෙ,දෙන,726
,,728
ශුමනගුතහ,ලෙණ.,728
,,729
ච,සහ,729
ලෙ,ගණකාධිකාරී,729
ගණක,තිස්සගේ,729
...........,ලෙණ.,729
,,730
ගමික,ප්‍රධානි,730
තින,තිනගේ,730
ලෙණෙ,ලෙණ.,730
,,731
බත,ඵුස්සගේ,731
පුශහ,ලෙණසතරදෙස,731
ලෙණෙ,සංඝයාට,731
චතු,.,731
,,732
ශුමන,තෙරුණ්ගේ,732
තෙරහ,සහ,732
ච,නුගුය,732
නුගුය,තෙරුණ්ගේ,732
තෙරහ,ලෙණ.,732
,,741
ශගශ,දෙන,741
දිනෙ,ලද්දේ,741
උපශක,උපාසක,741
ශුමනශ,සුමනගේ,741
ලෙණෙ,ලෙණ,741
,,756
රඣ,රජුගේ,756
ශිවශ,පරිත්‍යාගය;,756
දනෙ,වංස,756
වශ,තෙරුණ්ගේ,756
තෙරශ,ලෙණ.,756
,,765
.............,පුත්,765
[පු]ත,වන,765
පුශදෙවශ,ඵුස්සදේවගේ,765
ලෙණෙ,ලෙණ,765
ශගශ,සංඝයාට,765
,,772
ශගශ,ප්‍රමුඛ,772
පරුමක,ඵුස්සගේ,772
පුශ,පුත්,772
පුත,වන,772
පරුමක,ප්‍රමුඛ,772
ශුදෙවහ,සුදෙවගේ,772
ලෙණෙ,ලෙණ.,772
,,783
උපශක,මොරිය,783
මෙරය,තිස්සගේ,783
තිශහ,ලෙණ,783
ලෙණෙ,සංඝයාට,783
ශගශ,දෙන,783
නියතෙ,ලදී.,783
,,800
ගපති,උපාසක,800
උපශක,රකිගේ,800
රකි,පුත්,800
පුත,වන,800
බත,ප්‍රධානි,800
තිශහ,තිස්සගේ,800
ලෙණෙ,ලෙණ,800
අගත,පැමිණියාවූත්,800
අනගත,නොපැමිණියාවූත්,800
චතු,සතරදෙස,800
දිශ,සංඝයාට,800
ශගශ,දෙන,800
,,801
පරුමක,රොකගේ,801
රොක,පුත්,801
පුත,වන,801
පරුමක,ප්‍රමුඛ,801
තිශ,තිස්සගේ,801
පුත,පුත්,801
පරුමක,වූ,801
ශදීලශ,ප්‍රමුඛ,801
ලෙණෙ,සදිලගේ,801
අගත,ලෙණ,801
අනගත,පැමිණියාවූත්,801
චතු,නොපැමිණියාවූත්,801
දිශ,සතරදෙස,801
ශගශ,සංඝයාට,801
,,804
පරුමක,උත්තරගේ,804
උතර,පුත්,804
පුත,වන,804
පරුමක,ප්‍රමුඛ,804
අනුඩිය,අනුඩිගේ,804
ලෙණෙ,ලෙණ.,804
,,809
දමරකිතශ,ලෙණ,809
ලෙණෙ,සංඝයාට,809
ශගශ,.,809
,,814
පොචනි,රජ,814
රඣ,නාගගේ,814
නගයහ,භාර්යාව,814
ඣය,වූ,814
බමණ,බ්‍රාහ්මණ,814
කොඣර,කොඣරගේ,814
ඣිතය,දියණිය,814
උපශික,වන,814
දතය,උපාසිකා,814
ලෙණෙ,දත්තාගේ,814
,,816
පරුමක,අනුරාධගේ,816
අනුරදශ,පරිත්‍යාගයක්,816
දනෙ,වන,816
[ශි]ල,ශෛල,816
පශදෙ,පාසාදය,816
ශගයෙ,සංඝයාට,816
දිනෙ,.,816
,,817
ඉදශල,සංඝයාට.,817
,,824
පටල,සුමනගේ,824
ශුමනහ,ලෙණ.,824
,,831
පචින,රජුගේ,831
රඣ,පුත්,831
පුත,වන,831
තිශයහ,තිස්ස,831
ලෙණෙ,කුමරුගේ,831
අගත,ලෙණ,831
අනගත,පැමිණියාවූත්,831
චතු,නොපැමිණියාවූත්,831
දිශ,සතරදෙස,831
ශගශ,සංඝයාට,831
දිනෙ,දෙන,831
,,844
ගහපති,සාතගේ,844
ශතහ,ලෙණ,844
ලෙණෙ,සංඝයාට,844
ශගශ,.,844
,,845
අනද,තෙරුණ්ගේ,845
තෙරශ,සද්ධිවිහාරිකයින්ගේ,845
ශදිවිහරියන,ලෙණ.,845
,,847
පරුමක,චිරෙචේ,847
චීරෙචෙ,සුමනගේ,847
ශුමනහ,ලෙණ.,847
,,848
පරුම[ක,සොණාගේ,848
සො]ණහ,ලෙණ,848
ලෙ[ණෙ],සංඝයාට,848
ශගශ,.,848
,,850
දමරකිත,තෙරුණ්ගේ,850
තෙරහ,ලෙණ,850
ලෙණෙ,සංඝයාට,850
ශගශ,දෙන,850
දිනෙ,ලදී.,850
,,851
බත,ධම්මරක්ඛිතගේ,851
දමරකිතහ,ලෙණ්,851
නව,නවය.,851
,,852
තිශගුත,තෙරුණ්ගේ,852
තෙරහ,ශිෂ්‍ය,852
ශදිවිහරිය,වූ,852
බත,මජ්ඣිම,852
මඣිම,දේශක,852
බණක,ප්‍රධානි,852
තිශහ,තිස්සගේ,852
ලෙණෙ,ලෙණ,852
ශුදශනෙ,පැමිණියාවූත්,852
අගත,නොපැමිණියාවූත්,852
අනගත,සතරදෙස,852
චතු,සංඝයාට,852
දිශ,.,852
,,859
,,861
මහතිශහ,ලෙණ.,861
,,862
බත,ධම්මසෙනගේ,862
දමශෙනෙ,ලෙණ.,862
,,863
බත,ඵුස්සගුත්තගේ,863
පුශගුතශ,ලෙණ.,863
,,864
ඣමත,ලෙණ,864
චුඩහ,සංඝයාට,864
ගපති,දෙන,864
පුශහ,ලදී,864
චුඩහ,ගෘහපති,864
පුත,ඵුස්සගේ,864
මහතිශහ,සහ,864
ලෙණෙ,චුඩගේ,864
ශගශ,පුත්,864
,,867
පරුම[ක],කඩිගේ,867
කඩිය,පුත්,867
පුත,............,867
,,868
පරුමක,තිරිගේ,868
තිරි,පුත්,868
පුත,වන,868
අබිඣිය,අභිජිත්ගේ,868
ලෙණෙ,ලෙණ.,868
,,869
පරුමක,නගුලිගේ,869
නගුලිය,(ලාංගලී),869
ලෙණෙ,ලෙණ.,869
,,870
පරුමක,තිස්සගේ,870
තිශ,පුත්,870
පුත,බ්‍රහ්මදත්තගේ,870
බමදතහ,ලෙණ.,870
,,872
උපශක,උත්තරගේ,872
උතරහ,ලෙණ.,872
,,875
අබහ,ද,875
ච,භාර්යාව,875
ඣය,රුලගේ,875
රුලය,ලෙණ.,875
,,876
බත,තිස්සගේ,876
තිශහ,ලෙණ.,876
,,877
ශුමනගුත,තෙරුණ්ගේ,877
තෙරහ,ලෙණ,877
ලෙණෙ,පැමිණියාවූත්,877
අගත,නොපැමිණියාවූත්,877
අනගත,සතරදෙස,877
චතු,සංඝයාට,877
දිශ,.,877
,,878
පරුමක,දුටික,878
දුටික,තිස්සගේ,878
තිශහ,ලෙණ,878
ලෙණෙ,සංඝයාට,878
ශගශ,.,878
,,880
ගමික,ප්‍රධානි,880
වෙල,වෙලගේ,880
ඣිත,දියණිය,880
දමය,වන,880
ලෙණෙ,ධම්මාගේ,880
ශගශ,ලෙණ,880
,,885
අගියහ,ලෙණ.,885
,,906
උපශක,සිවගේ,906
ශිවහ,;,906
ගපිති,ගෘහපති,906
චිතහ,චිත්තගේ.,906
,,914
ගමික,ප්‍රධානි,914
ශිව,සිවගේ,914
පුත,පුත්,914
ගමික,වන,914
කණතිශහ,ගම්,914
ලෙණෙ,ප්‍රධානි,914
,,915
තිශගුත,තෙරුණ්ගේ,915
තෙරශ,ලෙණ.,915
,,918
බත,ඵුස්සගේ,918
පුශහ,ලෙණ,918
ලෙණෙ,සංඝයාට,918
ශගශ,.,918
,,922
පරුමක,උදයගේ,922
උදයහ,නාගදත්තගේ,922
නගදතහ,ලෙණ,922
ලෙණෙ,සංඝයාට,922
ශගශ,.,922
,,924
පරුමක,තිස්සගේ,924
තිශ,පුත්,924
පුත,වන,924
පරුමක,ප්‍රමුඛ,924
ශොණශ,සොණගේ,924
,,926
රොණිගුත,තෙරුන්ගේ,926
තෙරශ,ශිෂ්‍ය,926
අතිවශික,ප්‍රධානි,926
බත,සොණගුත්තගේ,926
ශොණගුතහ,ලෙණ.,926
,,927
අශ,බුද්ධරක්ඛිතගේ,927
බුදරකිතශ,ලෙණ.,927
,,928
පරුමක,චෙමගේ,928
[චෙ]මහ,ලෙණ,928
ලෙණෙ,සංඝයාට,928
ශගශ,.,928
,,929
උපශක,සොණාගේ,929
ශොණහ,ලෙණ.,929
,,930
බත,ගුත්තගේ,930
ගුතහ,ලෙණ,930
ලෙණෙ,සංඝයාට,930
ශගශ,.,930
,,931
පරුමක,සුමනගේ,931
ශුමන,පුත්,931
පුත,වන,931
බත,ප්‍රධානි,931
උතරිහ,උතරිගේ,931
,,958
උතියහ,කුමරුගේ,958
අයක,අදායම්,958
පරුමක,පාලක,958
නග,ප්‍රමුඛ,958
කුලහ,නාගගේ,958
ලෙණෙ,කුලයේ,958
ශගශ,ලෙණ.,958
,,980
ගමික,කුබිලිගේ,980
කුබිලිය,ලෙණපැමිණියාවූත්,980
ලෙණෙ,නොපැමිණියාවූත්,980
අගත,සතරදෙස,980
අනගත,සංඝයාට,980
චතු,.,980
,,989
බරත,සුජාත,989
සුඣත,කරවන,989
කරිත,ලද,989
ලෙණනි,ලෙණ්.,989
,,991
අචිරිය,කණ්හගුත්තගේ,991
කණගුතශ,ලෙණ.,991
,,997
[මි]නමතහ,ඇමතිගේ,997
ලෙණෙ,ලෙණ.,997
,,1008
පරුමක,තිස්සගේ,1008
තිශ,පුත්,1008
පුත,වන,1008
